item_id,title,category,description,price,image_url
B075QN5V5H,WonderSleep Dream Rite Shredded Memory Foam Pillow Series Luxury Adjustable Loft Home Pillow Hotel Collection Grade Washable Removable Cooling Bamboo Derived Rayon Cover- Queen 1 Pack,PILLOW,,32.99,
B0767Z2Y25,"KOS Vegan Protein Powder Erythritol Free, Chocolate - Organic Pea Protein Blend, Plant Based Superfood Rich in Vitamins & Minerals - Keto, Dairy Free - Meal Replacement for Women & Men, 30 Servings",PROTEIN_SUPPLEMENT_POWDER,,37.49,
B0772R7H3H,JJMax Women's Sweet Animal Cotton Blend Socks Set One Size Fits All,SOCKS,,11.88,
B077F6PCLK,nan,nan,,74.95,
B0787XJCTV,"USB C Hub HDMI Adapter for MacBook Pro 2019/2018/2017, MOKiN 5 in 1 Dongle USB-C to HDMI, Sd/TF Card Reader and 2 Ports USB 3.0 (Silver)",MULTIPORT_HUB,,26.99,
B0798DVT69,Charmin Ultra Strong Toilet Paper (OLD),TOILET_PAPER,,25.235,
B079DH1YGT,"Hammermill Printer Paper, Great White 30% Recycled Paper, 8.5 x 11 - 3 Ream (1,500 Sheets) - 92 Bright, Made in the USA, 086820C",PRINT_COPY_PAPER,,15.29,
B079SFZTRS,ASICS Women's Gel-Cumulus 20 Running Shoes,SHOES,,96.42,
B07BGLT25K,"Scott ComfortPlus Toilet Paper, 12 Double Rolls = 24 Regular Rolls, 231 Sheets Per Roll",TOILET_PAPER,,5.48,
B07BJ4CYR4,"Amazon Brand - Solimo Multipurpose Drawstring Trash Bags, 30 Gallon, 50 Count",WASTE_BAG,,9.99,
B07BRLLJV9,nan,nan,,15.62,
B07BY6691D,JJMax Women's Sweet Animal Cotton Blend Socks Set One Size Fits All,SOCKS,,11.88,
B07C2XW1QR,"Scott Tube-Free Toilet Paper, 24 Family Rolls, Bath Tissue",TOILET_PAPER,,15.99,
B07C5TY2W8,ATTRACO Women's Rashguard Swimsuit Zip Front Sun Protection Swim Shirt UPF 50+,SWIMWEAR,,26.99,
B07C7KKDRM,nan,nan,,9.99,
B07C9JYF2W,"Cottonelle Ultra ComfortCare Soft Toilet Paper, 12 Big Rolls, Bath Tissue",TOILET_PAPER,,6.0,
